Level,Date and Time,Source,Event ID,Task Category
Information,02/12/2022 16:17:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:16:43,Squid Service Source,0,None,Squid started: process id '2868'.
Information,02/12/2022 16:16:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:16:23,Squid Service Source,0,None,Squid started: process id '7008'.
Information,02/12/2022 16:16:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:16:03,Squid Service Source,0,None,Squid started: process id '6704'.
Information,02/12/2022 16:16:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:15:43,Squid Service Source,0,None,Squid started: process id '6824'.
Information,02/12/2022 16:15:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:15:23,Squid Service Source,0,None,Squid started: process id '7160'.
Information,02/12/2022 16:15:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:15:03,Squid Service Source,0,None,Squid started: process id '1960'.
Information,02/12/2022 16:15:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:14:43,Squid Service Source,0,None,Squid started: process id '3768'.
Information,02/12/2022 16:14:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:14:23,Squid Service Source,0,None,Squid started: process id '5780'.
Information,02/12/2022 16:14:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:14:03,Squid Service Source,0,None,Squid started: process id '6468'.
Information,02/12/2022 16:14:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:13:43,Squid Service Source,0,None,Squid started: process id '5480'.
Information,02/12/2022 16:13:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:13:23,Squid Service Source,0,None,Squid started: process id '5824'.
Information,02/12/2022 16:13:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:13:03,Squid Service Source,0,None,Squid started: process id '5840'.
Information,02/12/2022 16:13:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:12:43,Squid Service Source,0,None,Squid started: process id '3148'.
Information,02/12/2022 16:12:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:12:23,Squid Service Source,0,None,Squid started: process id '6544'.
Information,02/12/2022 16:12:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:12:03,Squid Service Source,0,None,Squid started: process id '6640'.
Information,02/12/2022 16:12:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:11:43,Squid Service Source,0,None,Squid started: process id '6808'.
Information,02/12/2022 16:11:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:11:23,Squid Service Source,0,None,Squid started: process id '3444'.
Information,02/12/2022 16:11:23,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:11:03,Squid Service Source,0,None,Squid started: process id '6504'.
Information,02/12/2022 16:11:03,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:10:43,Squid Service Source,0,None,Squid started: process id '4832'.
Information,02/12/2022 16:10:43,Squid Service Source,0,None,Cannot find a squid process. Trying to start it...
Information,02/12/2022 16:10:23,Squid Service Source,0,None,Squid started: process id '6164'.
