Level,Date and Time,Source,Event ID,Task Category
Information,10/1/2022 10:47:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,10/1/2022 10:47:12 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/1/2022 8:50:52 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,10/1/2022 8:50:50 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,10/1/2022 8:50:41 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/1/2022 8:50:41 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-LQJ87IMDJA3\Administrator
Session ID: 1"
Information,10/1/2022 8:49:53 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:30 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:29 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,10/1/2022 8:46:22 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:45:26 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,10/1/2022 8:45:26 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:45:26 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:45:26 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 8:45:08 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:40:09 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:40:07 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:50 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:48 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:48 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:47 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:47 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,10/1/2022 5:39:20 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,34,None,Remote Desktop Services is not accepting logons because setup is running.
